Symbol,Last_Close (₦),XGB_Signal,XGB_Return (%),XGB_R2,XGB_Direction_Acc,XGB_Balanced_Acc,XGB_Buy_Probability,XGB_F1_BUY,XGB_Confidence,RF_Signal,RF_Return (%),RF_R2,RF_Direction_Acc,RF_Balanced_Acc,RF_Buy_Probability,RF_F1_BUY,RF_Confidence,LSTM_Signal,LSTM_Return (%),LSTM_R2,LSTM_Direction_Acc,LSTM_Balanced_Acc,LSTM_Buy_Probability,LSTM_F1_BUY,LSTM_Confidence,XGB_Quality_Pass,RF_Quality_Pass,LSTM_Quality_Pass,Models_Run,Qualified_Models,Qualified_Model_Names,Vote_Source,Consensus_Signal,Consensus_Tier,Avg_R2,Avg_Quality_R2,Avg_Confidence,Avg_Return,Fallback_Return_20D (%),Fallback_Return_60D (%),Fallback_Return_120D (%),Fallback_Avg_Trade_Value_20D
ABBEYBDS,6.75,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.1004,-6.04,12.5,-34.466,3.8462,120502245.33
ABCTRANS,7.64,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,60.7338,46.9231,13.1852,122.093,8764157.69
ACADEMY,9.15,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,21.4423,18.8312,8.9286,36.5672,4848629.68
ACCESSCORP,31.3,SELL,-4.16,0.135,63.85,63.5,28.54,55.8,0.1521,SELL,-5.65,0.0796,58.72,57.96,20.83,33.2,0.1122,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.1073,0.1073,0.1322,,,,,
AFRIPRUD,13.8,BUY,2.31,0.0271,51.03,52.71,64.41,57.78,0.0878,BUY,1.38,0.0064,50.0,50.64,58.65,51.74,0.0453,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,BUY,2,0.0168,0.0168,0.0666,,,,,
AIICO,4.16,SELL,-6.86,0.0083,44.22,50.83,20.13,4.41,0.0134,SELL,-6.55,0.0,43.19,50.0,21.45,0.0,0.0,,,,,,,,,False,False,False,2,0,,none,CONFLICT,3,0.0042,0.0,0.0,,,,,
AIRTELAFRI,3655.7,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,51.7275,33.0943,61.0441,61.0441,150926253.55
ALEX,9.9,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.0738,-3.3805,-6.1611,-42.4419,38.4615,3273496.51
ARADEL,1933.8,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,85.0301,-2.7655,76.7803,181.0756,5646622593.13
ARDOVA,16.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.1029,-6.2875,-7.3034,-3.2258,-8.3333,15344194.05
AUSTINLAZ,3.76,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,13.896,0.8043,-18.4382,59.322,4751300.0
BERGER,74.45,BUY,0.09,0.0944,57.36,59.44,50.47,60.85,0.0034,SELL,-0.88,0.0656,52.76,56.56,45.61,53.61,0.0266,,,,,,,,,False,False,False,2,0,,none,CONFLICT,3,0.08,0.0,0.0,,,,,
BETAGLAS,570.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,24.3281,4.5872,14.343,54.0541,154332172.95
BUACEMENT,378.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,69.4421,-0.5263,72.6027,136.25,643206555.51
BUAFOODS,967.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,20.8369,0.0,22.8717,39.639,185126998.95
CADBURY,73.5,SELL,-7.11,0.0672,49.06,56.72,22.18,37.62,0.1187,SELL,-7.78,0.0233,41.24,52.33,19.55,11.38,0.0363,SELL,-3.13,0.005,37.04,50.5,37.76,3.49,0.0043,False,False,False,3,0,,none,CONFLICT,3,0.0318,0.0,0.0,,,,,
CAP,120.0,SELL,-6.46,0.0571,51.03,55.71,14.49,31.84,0.126,SELL,-5.78,0.0026,43.7,50.26,18.18,1.03,0.0033,BUY,0.19,0.1427,63.55,64.27,51.05,65.69,0.0089,True,False,False,3,1,XGB,quality,SELL,3,0.0675,0.0571,0.126,,,,,
CAVERTON,6.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.0809,4.0869,3.4483,-7.6923,16.5049,17063517.5
CCNN,18.1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,11.195,-4.7368,9.0361,29.2857,26105691.57
CHAMPION,13.05,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-15.2597,-6.7857,-32.2078,-6.7857,149932007.45
CHAMS,4.15,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,19.8283,25.7576,-6.9507,40.678,142191885.12
CHELLARAM,13.2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.073,-3.2992,0.0,0.0,-9.8976,1251199.52
CHIPLC,1.09,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,31.0286,-5.2174,25.2874,73.0159,8930166.53
CILEASING,6.35,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.1059,6.5858,7.6271,-15.894,28.0242,18662608.57
CONHALLPLC,6.87,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,50.4913,33.3981,39.6341,78.4416,27514179.01
CONOIL,194.0,BUY,0.82,0.0,56.72,46.71,52.94,21.43,0.0059,SELL,-5.08,0.0,65.25,49.09,31.83,5.36,0.0096,SELL,-0.16,0.0566,64.91,55.66,49.44,35.06,0.0022,False,True,False,3,1,RF,quality,SELL,3,0.0189,0.0,0.0096,,,,,
CORNERST,5.8,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.0716,3.1608,5.4545,-0.8547,4.8825,10236597.93
COURTVILLE,0.6,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,9.5927,1.6949,-6.25,33.3333,2005720.22
CUSTODIAN,83.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,43.3575,-4.7619,26.8144,108.0201,120812818.06
CUTIX,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-9.9331,-1.6393,-24.6231,-3.537,21284974.08
CWG,24.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,17.8581,11.6279,4.8035,37.1429,67276519.5
DAARCOMM,1.95,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,42.5158,17.4699,-16.6667,126.7442,12709061.42
DANGCEM,1180.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,61.5432,21.6495,42.2544,120.7258,2450695924.62
DANGFLOUR,22.25,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,11.2871,0.2252,15.285,18.3511,24102917.54
DANGSUGAR,71.15,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.1043,6.4278,2.0803,-12.1605,29.3636,677277134.9
DEAPCAP,5.16,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,80.955,24.9395,-26.0745,244.0,18049863.99
DIAMONDBNK,2.42,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,60.0012,0.0,76.6423,103.3613,87305436.18
ELLAHLAKES,10.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-14.7277,0.0,-15.6118,-28.5714,101674002.55
ETERNA,34.45,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.0503,1.0257,1.3235,4.7112,-2.9577,54518261.85
